0.418467	0.011232	0.023735	0.546565
0.413811	0.011370	0.023529	0.551290
0.409044	0.011557	0.023415	0.555984
0.404156	0.011779	0.023401	0.560664
0.399131	0.012038	0.023482	0.565350
0.393945	0.012349	0.023645	0.570061
0.388582	0.012707	0.023895	0.574816
0.383024	0.013103	0.024245	0.579628
0.377241	0.013552	0.024690	0.584517
0.371196	0.014077	0.025219	0.589508
0.364863	0.014668	0.025854	0.594615
0.358212	0.015321	0.026610	0.599858
0.351202	0.016053	0.027481	0.605263
0.343798	0.016880	0.028464	0.610858
0.335984	0.017770	0.029584	0.616662
0.327746	0.018707	0.030846	0.622701
0.319067	0.019704	0.032225	0.629005
0.309951	0.020741	0.033709	0.635600
0.300436	0.021758	0.035306	0.642501
0.290558	0.022726	0.036990	0.649725
0.280357	0.023651	0.038698	0.657294
0.269908	0.024481	0.040402	0.665209
0.259311	0.025146	0.042085	0.673458
0.248653	0.025630	0.043685	0.682032
0.238017	0.025948	0.045117	0.690918
0.227526	0.026044	0.046357	0.700073
0.217291	0.025880	0.047380	0.709449
0.207402	0.025479	0.048120	0.718999
0.197936	0.024875	0.048517	0.728672
0.188984	0.024042	0.048582	0.738391
